แหล่งนำเข้าสำคัญของไทย  ปี 2559 - 2562(มกราคม - เมษายน),,,,,,,,,,,,,
มูลค่า : ล้านบาท,,,,,,,,,,,,,
 รายการ ,2559,,2560,,2561,,2561,,2562,,2560,2561,2562
,,,,,,,(ม.ค. - เม.ย.),,(ม.ค. - เม.ย.),,,,
,,,,,,,,,,,,(ม.ค. - เม.ย.),(ม.ค. - เม.ย.)
,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,,,
รวมทั้งสิ้น,-,"6,888,186.70",-,"7,587,118.41",-,"8,098,098.18",-,"2,584,796.01",-,"3,229,146.44",10.15,6.73,24.93
   นิวแคลีโดเนีย,179,11.90,186,9.47,175,14.61,172,4.47,181,3.44,-20.43,54.35,-22.91
   ภูฎาน,192,4.36,203,2.31,173,16.22,162,9.68,182,2.62,-47.12,602.89,-72.92
   ISLE OF MAN,177,15.12,185,9.63,174,16.10,170,4.79,183,2.90,-36.30,67.19,-39.56
   ซานมารีโน,201,1.55,190,5.67,202,1.17,200,.21,184,2.26,266.75,-79.39,"1,000.15"
   เซนต์ลูเซีย,194,3.93,189,6.95,180,12.12,171,4.49,185,2.57,77.03,74.37,-42.77
   เติร์กเมนิสถาน,140,103.81,151,75.64,172,17.38,168,5.21,186,1.98,-27.13,-77.03,-62.05
   เขตต่อเนื่องราชอาณาจักร,172,23.96,176,19.54,195,2.78,195,.39,187,1.94,-18.45,-85.79,396.44
   มาลาวี,181,9.68,177,19.39,189,5.04,182,2.51,188,1.87,100.30,-73.99,-25.59
"   PALESTINIAN TERRITORY, OCCUPIED",208,1.15,248,.00,229,.14,214,.09,189,1.47,-99.90,"11,700.00","1,595.62"
   อันดอร์รา,180,11.52,193,4.91,194,3.17,188,1.09,190,1.31,-57.41,-35.43,19.65
   หมู่เกาะแฟโร (เดนมาร์ก),158,46.80,172,28.95,165,37.73,178,2.98,191,7.15,-38.13,30.33,139.50
   ไนเจอร์,193,4.06,201,2.56,192,4.35,190,.95,192,1.24,-36.85,69.59,30.51
   ยิบรอลตาร์,204,1.37,224,.24,234,.09,234,.00,193,.74,-82.40,-64.54,"19,413.16"
"   BONAIRE,SAINT EUSTATIUS AND SABA",,,250,.00,,,,,194,1.01,,,
   นครวาติกัน,240,.06,245,.00,228,.14,206,.14,195,.72,-93.51,"3,412.20",401.74
   เซนต์คิตส์และเนวิส,224,.20,226,.23,208,.58,228,.02,196,.64,14.06,148.58,"3,179.59"
   อุซเบกิสถาน,198,2.77,182,13.08,154,56.92,142,28.03,197,.56,372.49,335.11,-97.99
   เกรเนดา,200,1.61,197,3.42,176,14.60,185,1.15,198,1.42,111.71,327.54,23.90
   ซีเรีย,164,32.40,164,41.63,185,7.47,165,7.33,199,.47,28.48,-82.05,-93.55
   โตกีลู,182,8.83,195,3.82,196,2.70,186,1.13,200,.48,-56.71,-29.37,-57.99
   GUERNSEY,248,.01,225,.24,238,.07,216,.07,201,.43,"2,209.62",-71.77,557.12
   หมู่เกาะเวอร์จิน(สหรัฐ),207,1.21,228,.19,222,.25,199,.23,202,3.14,-84.31,31.19,"1,287.84"
