สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
โลก,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2560,2561,2561,2562,2560,2561,2561,2562,2560,2561,2561,2562
,,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.),,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.),,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.)
   1.2.2 ปลาหมึก,"12,006.9","10,950.2","4,867.4","4,167.2",16.49,-8.80,-8.59,-14.38,0.15,0.14,0.15,0.13
    (1) ปลาหมึก มีชีวิต สด แช่เย็น แช่แข็ง,"11,738.3","10,594.3","4,719.1","4,118.1",17.19,-9.75,-9.44,-12.74,0.15,0.13,0.14,0.13
    (2) ปลาหมึก แห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน                            ,268.6,355.8,148.2,49.2,-7.63,32.48,30.74,-66.83,0.00,0.00,0.00,0.00
   1.2.3 ปลา,"18,897.5","17,433.9","7,473.7","6,376.9",-7.06,-7.75,-5.91,-14.68,0.24,0.22,0.23,0.20
    (1) เนื้อปลาสด แช่เย็น แช่แข็ง,"8,443.2","8,263.5","3,429.7","3,120.8",-14.91,-2.13,-3.24,-9.01,0.11,0.10,0.10,0.10
    (2) ปลาสด แช่เย็น แช่แข็ง,"6,504.7","5,651.3","2,526.9","2,007.6",11.49,-13.12,-1.88,-20.55,0.08,0.07,0.08,0.06
    (3) ปลาแห้งและส่วนต่าง ๆ แห้ง ใส่เกลือหรือรมควัน(เมตริกตัน),"3,072.5","2,557.2","1,090.0",870.3,-16.96,-16.77,-25.95,-20.16,0.04,0.03,0.03,0.03
    (4) ปลามีชีวิต และพันธุ์ปลา,877.1,961.9,427.1,378.2,0.21,9.66,21.71,-11.44,0.01,0.01,0.01,0.01
   1.2.4 สัตว์น้ำจำพวกครัสตาเซียและโมลลุสก์ อื่น ๆ,"1,255.3","1,144.9",374.3,423.8,-60.02,-8.79,6.56,13.22,0.02,0.01,0.01,0.01
    (1) ปู สด แช่เย็น แช่แข็ง นึ่งหรือต้ม,877.3,726.7,226.3,293.4,10.16,-17.16,-14.21,29.65,0.01,0.01,0.01,0.01
